Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED,From Line 6
615,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to William Penn Elementary School,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,24911 William Penn Elementary School,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$4,500",,
616,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to William T Sherman Elementary School,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,25341 William T Sherman Elementary School,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$4,500",,
617,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Sir Miles Davis Magnet Elementary Academy,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,29391 Sir Miles Davis Magnet Elementary Academy,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$4,500",,
618,19-0925-EX1,Transfer from Capital/Operations - City Wide to Pilsen Elementary Community Academy,Funds Transfer From Award# 2020-488-00-03 To Project# 2020-31141-OIP ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,31141 Pilsen Elementary Community Academy,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$4,500",,
619,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Horace Greeley Elementary School,"Funds for Greeley site based expenditure per Emily Lau, shifting to appropriate grant value that reflects where school is budgeted",10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,390008 Other Government Funded - Community Services,"442183 21st Century Community Learning Centers (Cohort
19-Grant 4) Fy19",22661 Horace Greeley Elementary School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,119035 Other Instruction Purposes - Miscellaneous,"442177 21st Century Community Learning Centers - (Cohort
15-Grant 6) Fy19","$4,500",,
620,19-0925-EX1,Transfer from Early College and Career - City Wide to Paul Laurence Dunbar Career Academy High School,Supplies for CTE Auto Body program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,53021 Paul Laurence Dunbar Career Academy High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,140705 Auto Body Repair,474567 Special Student Needs-C. Perkins Fy20,"$4,500",,
621,19-0925-EX1,Transfer from Early College and Career - City Wide to Benito Juarez Community Academy High School,Supplies for CTE Auto Tech program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,46421 Benito Juarez Community Academy High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,144701 Automotive Mechanic,474567 Special Student Needs-C. Perkins Fy20,"$4,500",,
622,19-0925-EX1,Transfer from Early College and Career - City Wide to Neal F Simeon Career Academy High School,Workbooks for CTE Cosmetology program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,53061 Neal F Simeon Career Academy High School,369 Title I - School Improvement Carl Perkins,53305 Instructional Materials (Non-Digital),140225 Cosmetology,474567 Special Student Needs-C. Perkins Fy20,"$4,500",,
623,19-0925-EX1,Transfer from Capital/Operations - City Wide to Jose De Diego Elementary Community Academy,Funds Transfer From Award# 2020-488-00-06 To Project# 2017-31261-WIN ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,31261 Jose De Diego Elementary Community Academy,488 Series 2017H,56310 Capitalized Construction,253508 Renovations,000000 Default Value,"$4,506",,
624,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Florence Nightingale Elementary School,FY20 21CCLC Instr. Allocation,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,442185 21st Century Community Learning Centers Fy20,24671 Florence Nightingale Elementary School,"324 Miscellaneous Federal, State & Local Grants",52130 Career Service Salaries - Extended Day,119035 Other Instruction Purposes - Miscellaneous,442185 21st Century Community Learning Centers Fy20,"$4,508",,
625,19-0925-EX1,Transfer from Capital/Operations - City Wide to Gage Park High School,Funds Transfer From Award# 2020-488-00-02 To Project# 2020-46141-OBI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,46141 Gage Park High School,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$4,550",,
626,19-0925-EX1,Transfer from Early College and Career - City Wide to Charles Allen Prosser Career Academy High School,Supplies for CTE Digital Media program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,53041 Charles Allen Prosser Career Academy High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,147601 Graphic Communications/Graphic Design,474567 Special Student Needs-C. Perkins Fy20,"$4,550",,
627,19-0925-EX1,Transfer from Capital/Operations - City Wide to Dodge Renaissance Academy,Funds Transfer From Award# 2020-488-00-04 To Project# 2020-11951-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009508 Ws O&M Cip,000000 Default Value,22981 Dodge Renaissance Academy,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$4,589",,
628,19-0925-EX1,Transfer from Capital/Operations - City Wide to William J Bogan High School,Funds Transfer From Award# 2020-488-00-03 To Project# 2019-46041-OFR ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,46041 William J Bogan High School,488 Series 2017H,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,"$4,650",,
629,19-0925-EX1,Transfer from Capital/Operations - City Wide to Peter Cooper Elementary Dual Language Academy,Funds Transfer From Award# 2020-488-00-05 To Project# 2020-22831-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009507 N O&M Cip,000000 Default Value,22831 Peter Cooper Elementary Dual Language Academy,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$4,650",,
630,19-0925-EX1,Transfer from Capital/Operations - City Wide to Logandale Middle School,Funds Transfer From Award# 2020-488-00-06 To Project# 2019-41091-FAS ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,41091 Logandale Middle School,488 Series 2017H,54125 Services - Professional/Administrative,009426 All Other,000000 Default Value,"$4,654",,
631,19-0925-EX1,Transfer from Early College and Career - City Wide to Chicago High School for Agricultural Sciences,Supplies for CTE Ag Academy program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,47091 Chicago High School for Agricultural Sciences,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,140101 Agricultural Academy,474567 Special Student Needs-C. Perkins Fy20,"$4,682",,
632,19-0925-EX1,Transfer from Early College and Career - City Wide to Chicago High School for Agricultural Sciences,Supplies for CTE Ag Applied Biology program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,47091 Chicago High School for Agricultural Sciences,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,140101 Agricultural Academy,474567 Special Student Needs-C. Perkins Fy20,"$4,682",,
633,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to Office of Catholic Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69510 Office of Catholic Schools,353 Title II - Teacher Quality,54125 Services - Professional/Administrative,228958 Federal - Nonpublic Inst (Catholic),494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,"$4,700",,
634,19-0925-EX1,Transfer from Capital/Operations - City Wide to Paul Robeson High School,Funds Transfer From Award# 2020-488-00-02 To Project# 2020-49121-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,46121 Paul Robeson High School,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$4,730",,
635,19-0925-EX1,Transfer from Little Village Multiplex to Capital/Operations - City Wide,Funds Transfer From Project# 2020-49121-OHI To Award# 2020-488-00-02 ; Change Reason : NA,49121 Little Village Multiplex,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,"$4,730",,
636,19-0925-EX1,Transfer from Capital/Operations - City Wide to Little Village Multiplex,Funds Transfer From Award# 2020-488-00-03 To Project# 2020-49121-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,49121 Little Village Multiplex,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$4,730",,
637,19-0925-EX1,Transfer from Capital/Operations - City Wide to James Ward Elementary School,Funds Transfer From Award# 2020-488-00-06 To Project# 2018-25751-ROF ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,25751 James Ward Elementary School,488 Series 2017H,56310 Capitalized Construction,253508 Renovations,000000 Default Value,"$4,800",,
638,19-0925-EX1,Transfer from Early Childhood Development - City Wide to Norman A Bridge Elementary School,Preschool classroom furniture,11385 Early Childhood Development - City Wide,362 Early Childhood Development,55010 Property - Furniture,119027 Prek Instruction,376672 State Preschool For All Age 3-5 Fy20,22321 Norman A Bridge Elementary School,362 Early Childhood Development,55010 Property - Furniture,111048 Early Childhood 3-4,376672 State Preschool For All Age 3-5 Fy20,"$4,822",,
639,19-0925-EX1,Transfer from Capital/Operations - City Wide to Daniel J Corkery Elementary School,Funds Transfer From Award# 2020-488-00-03 To Project# 2020-22851-OPI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,22851 Daniel J Corkery Elementary School,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$4,840",,
